val,pop
0,26
3.6,2
3.8,3
4,4
4.2,3
4.4,1
4.8,1
5,1
5.2,2
5.4,2
5.8,1
6,1
6.2,2
7.2,1
7.6,1
8,3
8.4,3
9.2,2
9.6,2
10,1
10.8,1
11,1
11.8,1
12,2
12.6,1
13,2
14,2
14.4,1
14.6,1
14.8,1
15,1
15.2,1
15.4,1
21.2,1
21.8,2
23,1
24.4,1
24.6,1
25.2,1
26.4,1
27.2,1
27.4,3
27.6,1
28.2,1
28.6,1
29.2,1
29.4,1
30.2,1
