val,pop
"$160,000,000 ",1
"$117,500,000 ",1
"$90,000,000 ",1
"$40,000,000 ",1
"$16,500,000 ",1
"$13,579,404 ",1
"$12,000,000 ",1
"$12,000,000 ",1
"$10,091,000 ",1
"$10,091,000 ",1
"$6,373,334 ",1
"$5,625,316 ",1
"$5,000,000 ",1
"$4,700,000 ",1
"$4,084,980 ",1
"$4,000,000 ",1
"$3,989,520 ",1
"$3,923,032 ",1
"$3,917,784 ",1
"$2,720,000 ",1
"$2,720,000 ",1
"$2,715,000 ",1
"$2,715,000 ",1
"$2,710,000 ",1
"$2,705,000 ",1
"$2,705,000 ",1
"$2,705,000 ",1
"$2,698,000 ",1
"$2,695,000 ",1
"$1,995,000 ",1
"$1,855,000 ",1
"$1,665,000 ",1
"$1,665,000 ",1
"$1,545,000 ",1
"$1,500,000 ",1
"$1,430,000 ",1
"$1,400,000 ",1
"$1,317,500 ",1
"$1,317,500 ",1
"$1,317,500 ",1
"$1,317,500 ",1
"$1,232,500 ",1
"$1,200,000 ",1
"$1,180,000 ",1
"$1,180,000 ",1
"$1,165,000 ",1
"$1,165,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,080,000 ",1
"$1,035,000 ",1
"$1,010,000 ",1
"$1,010,000 ",1
"$1,010,000 ",1
"$1,010,000 ",1
"$1,010,000 ",1
"$940,000 ",1
"$940,000 ",1
"$940,000 ",1
"$940,000 ",1
"$940,000 ",1
"$940,000 ",1
"$940,000 ",1
"$870,000 ",1
"$870,000 ",1
"$870,000 ",1
"$870,000 ",1
"$870,000 ",1
"$870,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$750,000 ",1
"$489,000 ",1
"$449,600 ",1
"$410,200 ",1
"$387,044 ",1
"$370,800 ",1
"$370,800 ",1
"$370,800 ",1
"$370,800 ",1
"$370,800 ",1
"$370,800 ",1
"$370,800 ",1
"$370,800 ",1
"$338,422 ",1
"$306,866 ",1
"$305,001 ",1
"$296,444 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$289,800 ",1
"$275,334 ",1
"$275,334 ",1
"$256,222 ",1
"$252,333 ",1
"$252,333 ",1
"$245,667 ",1
"$245,667 ",1
"$245,667 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
"$216,000 ",1
