val,pop
72000000,1
39000000,1
12000000,1
6774914,1
5500000,1
5143292,1
4238288,1
3658872,1
3585872,1
3000000,2
2500000,1
2455000,1
2440000,1
2430000,1
2428000,1
2250000,1
1836500,1
1600000,1
1492500,1
1491500,1
1491000,2
1485000,2
1375000,1
1212500,2
1200000,1
1127500,4
1078500,1
1075500,1
1075000,4
1070000,1
1020000,2
998500,1
993000,1
990000,8
927000,1
922500,1
920000,6
853500,1
852000,1
850000,6
780000,8
666500,1
660000,14
330111,1
326222,1
306000,1
304000,1
293000,1
289111,1
285222,1
265000,1
252000,18
241644,1
233866,1
203622,1
193067,1
192934,1
168044,1
165600,46
