val,pop
0,26
6,2
6.333333333,6
6.666666667,4
7,3
7.333333333,2
8,1
8.333333333,1
8.666666667,2
9,2
9.333333333,1
9.666666667,1
10,3
10.33333333,2
12,1
12.66666667,1
13.33333333,3
14,3
15.33333333,2
16,2
16.66666667,1
18,1
20,1
20.33333333,1
21.66666667,2
22.66666667,1
23,1
23.33333333,1
24,1
24.33333333,2
24.66666667,2
25,1
25.66666667,2
26.66666667,1
27.33333333,1
27.66666667,1
29.33333333,1
29.66666667,3
30,1
30.33333333,3
